# Supplementary table 11. Epigenetic clock results for the samples in Neu 30 yo dataset.,,,,,,,,,,,,,,,,,
id,Hannum 2013,Horvath pan-tissue 2013,Weidner 2014,Lin 2016,Vidal-Bralo 2016,Horvath SkinAndBlood 2018,Zhang 2019,Yang epiTOC 2016,Youn MiAge 2018,Lu DNAmTL 2019,Teschendorff epiTOC2 2020,Zhang mortality-risk 2017,Levine PhenoAge 2018,Lu GrimAge 2019,Lu GrimAge2 2022,Belsky DunedinPACE 2022,McGreevy FitAge 2023
Neu30yo_8,32.05137369,36.42305397,8.01654442,19.44492968,48.09441362,24.47330588,51.55313878,0.07095270072,425.8758598,7.625590294,1809.279838,0.3754259246,30.7239443,43.23594804,45.05522839,0.9418473267,35.42071753
Neu30yo_8_R1,26.6990884,34.02411952,8.760293815,2.653310309,51.0006328,25.23506006,51.25534714,0.0782051283,429.1682951,7.592274909,2112.608134,0.426071994,32.67138015,42.81354005,41.74935412,0.921570045,37.15306191
Neu30yo_8_R2,30.86669717,35.94246738,9.025201438,12.55862089,44.7471376,23.11136518,51.46129042,0.07134029202,440.899027,7.589775333,1845.047749,0.3924063582,41.39338092,38.70522562,41.78342719,0.966000185,32.91367895
Neu30yo_11,24.71851432,38.04293842,9.597935451,19.56129397,46.71185566,19.04055644,50.77449938,0.0687304917,401.2775292,7.878955491,1612.26624,0.2603091621,33.03424932,35.22642874,37.86740257,0.9397600436,30.76662279
Neu30yo_11_R1,29.01559999,38.39826604,8.586852211,11.27439031,48.19085294,19.2123201,51.24777412,0.06781275699,412.3472345,7.77925926,1771.33646,0.3476936038,37.97531013,37.98540383,40.41086144,0.9627265106,33.48852541
Neu30yo_11_R2,23.11546548,38.04343078,14.60830371,16.71097278,53.20674444,24.93044497,51.63113861,0.07613271469,405.3870695,7.781308767,2409.642483,0.2898664501,36.19236072,42.10516121,43.3855558,0.9726607739,33.28335022
Neu30yo_14,28.76120788,49.16648596,8.784720611,15.12869052,50.42694122,19.58422698,51.08983987,0.07556745828,420.285226,7.682501153,1916.913995,0.4320744729,35.52074191,38.40253884,38.11748614,0.9172408004,36.33290986
Neu30yo_14_R1,27.080003,40.31631111,11.09730779,14.04643101,46.77738277,22.48540871,51.0536882,0.07599628012,465.2519958,7.741245033,2107.769626,0.418679243,38.91879258,40.29522086,42.58493309,0.9259862592,34.76835547
Neu30yo_14_R2,26.68234787,43.37777655,9.108560459,21.3439984,49.34502093,20.68483461,50.43316678,0.07517722372,434.5747764,7.767984922,2114.36116,0.5483287899,39.43398266,37.31648774,38.73404829,0.9134054366,31.36903572
Neu30yo_17,25.47811433,36.95877451,8.299387852,16.77891397,44.63961194,20.6729427,50.81516809,0.07379443075,455.4402197,7.726703026,2136.164674,0.4176562723,36.19908705,38.72802586,40.46244782,0.8717537,34.56886022
Neu30yo_17_R1,29.80012846,40.39743473,10.50407774,24.33849949,48.56733692,23.45817659,50.89799595,0.07554900768,409.8525009,7.75774547,2086.822214,0.2622841295,32.58447436,40.61286844,42.09423894,0.8887605544,34.19951446
Neu30yo_17_R2,27.36099611,40.1198108,8.998983458,15.97398156,46.09894206,23.55493234,51.33534685,0.06846657557,443.0614711,7.60913181,1681.922968,0.3569162226,33.66192199,38.89468539,41.30800739,0.9078910758,32.10951046
Neu30yo_20,28.07662856,38.25593953,7.091744989,14.9419332,45.27936736,20.5222758,51.473154,0.06135440916,405.6546563,7.780066798,1349.97103,0.4116061724,35.80560562,35.8634599,39.11300973,0.9350763753,31.75064805
Neu30yo_20_R2,25.8187808,38.99607626,9.638824513,5.179063954,47.30556,22.18132813,51.59262827,0.0769902972,422.1208645,7.810632745,2159.926923,0.3253917284,35.69187019,40.60891129,40.80830565,0.8637678789,35.05415003
Neu30yo_23,26.58878955,40.78806427,6.375556986,12.28685558,48.53316395,18.56745618,51.0896495,0.07286256768,397.3261111,7.722978791,1906.257817,0.3814852728,39.11886456,37.18431035,39.47457076,0.8691613952,36.08911374
Neu30yo_23_R1,25.8529914,34.64192541,8.376326249,18.84024638,47.15618544,22.61646717,51.20581627,0.0624530678,425.2454946,7.601007967,1336.024041,0.3864447505,32.12301396,36.26500384,40.4090017,0.9037110493,30.79168233
