# Supplementary table 5. Epigenetic clock results for the samples in PBMC time-of-day dataset (Apsley et al.).,,,,,,,,,,,,,,,,,
id,Hannum 2013,Horvath pan-tissue 2013,Weidner 2014,Lin 2016,Vidal-Bralo 2016,Horvath SkinAndBlood 2018,Zhang 2019,Yang epiTOC 2016,Youn MiAge 2018,Lu DNAmTL 2019,Teschendorff epiTOC2 2020,Zhang mortality-risk 2017,Levine PhenoAge 2018,Lu GrimAge 2019,Lu GrimAge2 2022,Belsky DunedinPACE 2022,McGreevy FitAge 2023
12:45_13stress,14.33804773,25.13147437,38.7983727,6.213925281,44.99807604,16.80444925,51.84165433,0.09007866682,906.3014182,7.435081718,3164.144161,-1.976369139,3.148604793,24.25774582,29.19881168,0.7846719214,26.5159765
12:45_15stress,17.18712929,27.11946596,48.69419902,14.81599304,40.47387871,22.82948542,52.19176759,0.1013391127,1012.611102,7.564975462,3706.679911,-2.122329114,4.038570484,29.72815055,34.59800417,0.8509506901,28.73547631
12:45_16nostress,6.314611507,22.84894958,23.07545281,8.705612807,35.77054419,12.9514637,49.07733436,0.06337510975,775.5887064,7.834675599,1635.330758,-2.302270879,-1.225954932,18.41814579,24.30145638,0.6997965176,20.53811161
12:45_16stress,6.759367276,24.29701429,19.25121071,8.34078927,36.56219335,14.17614263,49.33799824,0.06473881475,735.757097,7.800080242,1754.287828,-2.204238396,-9.424996784,19.34350116,24.864958,0.6792079444,20.43046072
12:45_18stress,7.04191202,20.90681826,28.94774861,10.2279135,36.85750528,13.57190686,49.91925301,0.06056242801,724.6464017,8.052344895,1432.341018,-2.52597902,-4.611502852,15.5708586,21.60474494,0.7325721845,18.72021032
12:45_19nostress,2.874878541,19.72962909,27.20374245,6.588340049,43.1168716,13.3819565,50.224166,0.06007589495,778.9441756,8.288987252,1444.802715,-2.721054366,-4.691548066,16.32571371,21.35890212,0.6211546942,15.56932684
12:45_19stress,2.985614722,17.05529699,24.03684109,12.67072046,39.83917373,12.4622702,49.10366059,0.05763351841,728.6059204,8.280702703,1284.945527,-2.571694195,-10.14561757,14.19130875,18.42435942,0.639876202,15.3537249
12:45_1stress,4.507471731,19.95526839,21.77769427,13.69161762,40.60845216,14.68909277,49.30547229,0.05817955667,598.0419129,7.774919924,1336.049882,-2.267153703,0.7794660172,22.15392822,26.70119096,0.7792202462,20.38612529
12:45_22stress,8.846663832,18.79305278,39.92903635,13.72765085,35.18499185,18.43981212,50.23346188,0.0662937078,720.5006979,8.070946483,1707.468882,-2.500226468,-6.015322328,19.20664737,24.08372195,0.6292840669,18.75782199
12:45_23stress,16.44684145,24.50340661,26.10801439,8.481679913,39.10742924,21.97905352,51.39348466,0.08405294811,983.514768,7.308420775,2733.651836,-2.210323433,5.442294488,28.08400908,34.3789946,0.8808312603,26.14249346
12:45_24nostress,9.50078128,22.97655613,33.24688102,9.148628695,43.9289676,22.80771445,51.23019683,0.07510128814,693.265442,7.763265447,2116.461503,-2.05866269,1.441108017,25.40364989,31.82962373,0.7314265042,23.46598782
12:45_25stress,0.4102091271,22.10213142,24.7575472,20.85914966,40.58883936,16.84347451,49.10594363,0.0607103831,698.3685232,8.535795801,1372.214367,-2.789277476,-3.749498963,24.27364388,28.29871477,0.8002813226,21.46455022
12:45_26stress,9.051864139,22.95302992,27.57416082,14.50492494,42.55926043,17.72276808,50.4034037,0.06717049964,832.9791217,7.760569741,1827.983806,-2.184633821,0.3266294495,26.15158144,32.70132655,0.8551811464,25.91788647
12:45_27nostress,13.93171475,22.08676605,26.28785004,13.28137766,39.00988935,19.64315872,51.60827102,0.07689745097,883.5267935,7.55915232,2413.172811,-2.175962856,2.081054348,26.84928626,31.85012707,0.7694075733,26.0730552
12:45_27stress,15.74998293,24.98383803,31.06116876,15.57063031,39.35133001,20.16810344,51.54587675,0.07723094008,865.1025123,7.62446853,2437.440509,-1.907857876,0.08118209288,27.26103069,32.02819776,0.7962877158,24.128178
12:45_28stress,3.110636934,18.34724916,30.39088147,7.951855073,42.88403227,15.92686758,49.33930195,0.06117606887,630.7125396,7.973820012,1664.42097,-2.66809846,-12.29177527,16.56985651,20.29979045,0.5654542705,17.33998305
12:45_29nostress,5.582680008,24.88447664,32.9099299,22.89386691,40.50232684,15.47628247,49.78244432,0.0663156073,803.1847697,8.0494944,1784.976757,-2.386220277,-3.828914278,19.53391408,24.21783431,0.7915516926,20.19738552
12:45_2nostress,17.56436729,24.80375198,39.28528185,19.03299466,42.34968859,18.93514391,51.32241828,0.08645719006,818.8130563,7.703850855,2705.256357,-2.440060548,-1.415827721,24.86417697,28.9705929,0.7950946654,22.79949499
12:45_2stress,13.01578914,26.21271186,32.01973685,19.49600817,43.83195599,19.37352743,51.88586815,0.08497068048,757.2343236,7.983381401,2760.589586,-2.538666306,-0.8483205966,27.81550027,32.80283694,0.7695213418,22.77947263
12:45_30stress,3.909965751,19.86518092,29.71026548,17.25139422,43.38738228,14.06652213,50.32119514,0.05327855437,737.6646934,7.869099148,1100.190399,-2.517482047,-2.231551021,14.88587882,22.47271245,0.68892499,16.22097183
12:45_31nostress,0.1235498497,20.84848586,25.27352536,9.808868544,35.77194938,15.15214094,49.18012926,0.05372086008,794.3820753,8.264454402,1078.304046,-2.719781205,-11.46295842,14.60613914,18.64439471,0.5421418158,16.65224586
12:45_31stress,3.056471517,22.22072033,22.82997212,10.0976998,35.00728769,17.20120774,48.55446431,0.05733465135,789.2536046,8.250295409,1296.921243,-2.694741322,-10.43157516,17.56172311,20.81552054,0.5853016522,18.56592158
12:45_32nostress,1.229904134,18.87138413,29.04721123,14.01701584,37.93727911,13.00049988,50.33691106,0.06684865524,807.9179403,8.065571166,1767.793137,-2.393315726,-12.79312956,19.39593341,25.62379278,0.7448517705,17.31143427
12:45_32stress,1.336686107,21.47993591,20.31817677,14.49073889,36.37902442,12.99439264,49.08317165,0.07137494527,862.5603365,8.128133851,2117.332465,-2.450627251,-13.60652221,17.64393594,24.25614733,0.7992890972,18.60522738
