# Supplementary table 6. PC-based epigenetic clock results for the samples in PBMC time-of-day dataset (Apsley et al.).,,,,,,
id,PC.Horvath.pan.tissue,PC.Horvath.SkinAndBlood,PC.Hannum,PC.PhenoAge,PC.DNAmTL,PC.GrimAge
12:45_13stress,29.43918269,28.79133476,25.91414006,12.85229209,7.324459868,36.67667376
12:45_15stress,32.13968737,30.68731048,29.81399413,15.42246515,7.40774794,35.76692632
12:45_16nostress,20.66973683,19.34914273,18.76634796,5.01402923,7.753004252,32.62180096
12:45_16stress,18.5049148,17.22158703,15.16547719,1.2354628,7.793732115,31.75325896
12:45_18stress,19.53380608,16.40783174,14.35969593,-0.9492363845,7.914322808,30.27530734
12:45_19nostress,19.31378684,18.49704227,16.24296081,4.960557718,8.022192271,30.07818341
12:45_19stress,18.93363926,18.14958384,14.65754268,2.631257596,8.04807013,29.48792517
12:45_1stress,22.45204513,19.95952703,20.94473337,6.385583972,7.712516301,34.62187232
12:45_22stress,21.55818947,23.8882138,20.13893504,8.24564156,7.871989789,32.52653967
12:45_23stress,25.99731926,27.06132819,24.6188971,15.84373153,7.402858132,36.86755921
12:45_24nostress,28.47436896,26.74678305,26.37226152,14.60987105,7.606790143,35.42337928
12:45_25stress,21.75052113,18.51340318,18.55601822,8.621227862,8.033679179,34.13900163
12:45_26stress,28.0032544,25.58277149,26.23045621,11.86085682,7.548284937,36.31707944
12:45_27nostress,27.7945155,25.72913047,27.22283076,11.87706238,7.516262779,39.12694265
12:45_27stress,29.57779749,28.19219053,29.37048786,13.82469582,7.467198576,40.06804779
12:45_28stress,22.94133426,20.64545108,19.56149954,8.244893112,7.960654435,32.14140141
12:45_29nostress,24.0425542,22.09648364,22.67351338,7.984102111,7.794725508,34.88593171
12:45_2nostress,29.28117768,24.31341197,28.5847188,11.9112073,7.593021873,36.1260305
12:45_2stress,27.73446177,23.65827819,26.2610192,11.22239823,7.661796504,35.69755718
12:45_30stress,24.00375001,24.64808279,19.70836708,9.443702606,7.731715377,32.34864061
12:45_31nostress,19.27395899,17.61503333,14.26974039,-1.198464556,8.068434763,29.27386196
12:45_31stress,19.64272614,18.17268485,16.36001613,0.5550611027,8.022090968,29.88483225
12:45_32nostress,19.69754623,20.20937916,19.69990556,8.37922101,7.825290273,33.52784784
12:45_32stress,19.93156686,19.84252165,19.82875712,6.660496711,7.766193339,33.15351949
12:45_33stress,19.96741743,19.18401746,17.80718738,4.441440004,7.746428849,32.63111979
12:45_34stress,24.33510926,21.68890723,23.94287689,10.31285698,7.646086253,34.05048474
