# Supplementary table 2. Estimated WBC subtype proportions for the samples in WBC-Neu dataset. Houseman's celltype decomposition method with reference by Reinius et al.,,,,,,
id,tcd4,tcd8,bcell,nk,mono,gran
WBCminusNeu52yo_CT13,0.2089150374,0.225519259,0.05724748719,0.2025434072,0.1112749744,0.2177123128
WBCminusNeu52yo_CT13_R1,0.1976659275,0.2483317158,0.06117951858,0.1824002208,0.113608535,0.2187325962
WBCminusNeu52yo_CT16,0.25888258,0.1965876803,0.07008851989,0.152120418,0.08775823502,0.2527178117
WBCminusNeu52yo_CT16_R1,0.2743610136,0.1761794577,0.07455837071,0.1598526159,0.08662973593,0.2504768696
WBCminusNeu52yo_CT19,0.2053622925,0.1970684432,0.06975960693,0.156700255,0.1098408417,0.2807927285
WBCminusNeu52yo_CT19_R1,0.198530473,0.1929832754,0.06900497124,0.1684929988,0.1065492337,0.2820972907
WBCminusNeu52yo_CT22,0.2537192013,0.1954781691,0.07408033461,0.1561787873,0.11244865,0.2312010556
WBCminusNeu52yo_CT22_R1,0.2483661803,0.2104259466,0.07163209704,0.1506015974,0.1140258845,0.2268110073
WBCminusNeu52yo_CT25,0.2689005481,0.159146385,0.07693972941,0.1136942148,0.09890946997,0.29627735
WBCminusNeu52yo_CT25_R1,0.2639816079,0.1740835494,0.07870874937,0.1007992093,0.103275579,0.2937396286
WBCminusNeu52yo_CT28,0.2577016299,0.1878893541,0.06875248979,0.1341548742,0.0937089096,0.2750749549
WBCminusNeu52yo_CT28_R1,0.2605069443,0.1831938931,0.06592210679,0.1339974206,0.1005028135,0.2710481835
WBCminusNeu52yo_CT31,0.2305893871,0.1672838293,0.05205497926,0.133962799,0.1018974007,0.3286218159
WBCminusNeu52yo_CT31_R1,0.2273707416,0.1701605939,0.05170466793,0.1331581021,0.09887659639,0.332421474
WBCminusNeu52yo_CT34,0.1621981135,0.2060919119,0.04064490102,0.2252781271,0.08950976156,0.2906242016
WBCminusNeu52yo_CT34_R1,0.1658032918,0.2022551695,0.03998801744,0.2255473194,0.08177222214,0.2956008933
WBCminusNeu52yo_CT37,0.1698667271,0.200635692,0.05417149182,0.2170241855,0.1251181355,0.2530146141
WBCminusNeu52yo_CT37_R1,0.1686953559,0.2001537309,0.0501482436,0.2274228064,0.1274211888,0.2476026737
WBCminusNeu52yo_CT40,0.1900846696,0.196640598,0.05235348039,0.2147424725,0.1263980859,0.2341393434
WBCminusNeu52yo_CT40_R1,0.1905229762,0.2003539141,0.0484917985,0.2232601767,0.1201284561,0.2331909507
WBCminusNeu52yo_CT43,0.2630131871,0.1780514587,0.08581908805,0.1243108375,0.1065333181,0.2597479581
WBCminusNeu52yo_CT43_R1,0.2726010673,0.1751531075,0.08526599468,0.1247328232,0.1104919525,0.2519929025
WBCminusNeu52yo_CT46,0.2537405462,0.1911110306,0.06309517353,0.1842423371,0.1088892902,0.2180453954
WBCminusNeu52yo_CT46_R1,0.2614829815,0.1918540959,0.06275867825,0.1801365986,0.1039205225,0.2217642889
WBCminusNeu52yo_CT49,0.2685314343,0.2137484809,0.08971334284,0.1243234071,0.0738473121,0.2520341749
WBCminusNeu52yo_CT49_R1,0.3006781474,0.1769865851,0.08228761229,0.1360109877,0.08174121096,0.2409557926
WBCminusNeu52yo_CT55,0.2372739453,0.1909625429,0.06298193622,0.1564471576,0.1065753595,0.2668741532
WBCminusNeu52yo_CT55_R1,0.2459779526,0.182156082,0.05454718446,0.1583720304,0.1102278577,0.2656063464
WBCminusNeu52yo_CT58,0.1570628236,0.2329273298,0.0512194463,0.2264916834,0.1128520883,0.2449132936
WBCminusNeu52yo_CT58_R1,0.1831400901,0.2037071139,0.04894369387,0.2346571206,0.1146792105,0.2373352212
WBCminusNeu52yo_CT61,0.1521818913,0.1503146247,0.04418758752,0.1859554164,0.14648799,0.3377724297
WBCminusNeu52yo_CT61_R1,0.1686744208,0.1345838899,0.04426583394,0.1882157992,0.139926238,0.3451209961
WBCminusNeu52yo_CT64,0.2059564031,0.2094912149,0.06125175649,0.1956282067,0.1218320942,0.2271464644
WBCminusNeu52yo_CT64_R1,0.2072733741,0.2062772503,0.05264122261,0.2033523724,0.1201767318,0.2254672932
WBCminusNeu52yo_CT67,0.1926322173,0.1907136103,0.0593965987,0.182279062,0.1232644789,0.27196071
WBCminusNeu52yo_CT67_R1,0.2022087734,0.1789010665,0.05460754181,0.1819136616,0.123139537,0.2787949756
WBCminusNeu52yo_CT70,0.2669654338,0.2071095751,0.07101345993,0.1342332782,0.09740626476,0.2420435468
WBCminusNeu52yo_CT70_R1,0.2849066122,0.1800087319,0.06466841432,0.1510605494,0.09873075805,0.2384881278
WBCminusNeu52yo_CT73,0.2862828663,0.1670410162,0.07597948916,0.1289484289,0.1105480741,0.2454780257
