"# Supplementary table 1. Estimated WBC subtype proportions for the samples in WBC-Neu dataset. Houseman's celltype decomposition method with ""extended cell deconvolution"" reference by Salas et al.",,,,,,,,,,,,
id,tcd4n,tcd4m,tcd8n,tcd8m,treg,bn,bm,nk,bas,eos,neu,mono
WBCminusNeu52yo_CT13,0,0.1543,0,0.3239,0.0125,0.0315,0.0338,0.0508,0.0164,0.111,0.1192,0.118
WBCminusNeu52yo_CT13_R1,0,0.1532,0,0.3238,0.01,0.0216,0.0364,0.0532,0.0143,0.1096,0.1175,0.1247
WBCminusNeu52yo_CT16,0.0368,0.1599,0,0.2725,0.018,0.0375,0.0369,0.035,0.02,0.1016,0.1527,0.105
WBCminusNeu52yo_CT16_R1,0.0315,0.1864,0,0.2556,0.008,0.0379,0.0347,0.039,0.0173,0.1079,0.1536,0.1024
WBCminusNeu52yo_CT19,0.0113,0.1482,0,0.2672,0.0137,0.04,0.0372,0.0403,0.0217,0.1022,0.1788,0.1151
WBCminusNeu52yo_CT19_R1,0.011,0.1301,0,0.2775,0.0153,0.0368,0.0349,0.0448,0.022,0.1025,0.1861,0.1104
WBCminusNeu52yo_CT22,0.0316,0.1365,0,0.2731,0.0352,0.0407,0.028,0.0418,0.0185,0.124,0.1184,0.1309
WBCminusNeu52yo_CT22_R1,0.0299,0.1593,0,0.2656,0.0186,0.0376,0.0361,0.0444,0.0201,0.1203,0.1241,0.1202
WBCminusNeu52yo_CT25,0.054,0.1536,0,0.2121,0.0215,0.0511,0.0308,0.0124,0.0201,0.1336,0.1684,0.1202
WBCminusNeu52yo_CT25_R1,0.0523,0.1461,0,0.2187,0.0162,0.0524,0.0315,0.0139,0.0165,0.1368,0.1682,0.1125
WBCminusNeu52yo_CT28,0.0457,0.1622,0,0.2337,0.0135,0.043,0.0346,0.0349,0.0212,0.1154,0.1693,0.1081
WBCminusNeu52yo_CT28_R1,0.0462,0.1524,0,0.2493,0.0123,0.032,0.0357,0.0289,0.0091,0.1306,0.1522,0.1181
WBCminusNeu52yo_CT31,0.0384,0.1232,0,0.2294,0.0274,0.0355,0.0257,0.0319,0.0152,0.1307,0.2014,0.115
WBCminusNeu52yo_CT31_R1,0.0313,0.1482,0,0.2237,0.0111,0.0317,0.0289,0.0358,0.0121,0.1278,0.2079,0.109
WBCminusNeu52yo_CT34,0,0.1242,0,0.3058,0.0106,0.0241,0.034,0.0679,0.0205,0.1197,0.1716,0.1038
WBCminusNeu52yo_CT34_R1,0,0.1248,0,0.3077,0.0098,0.0216,0.0334,0.0631,0.0143,0.1237,0.1754,0.1027
WBCminusNeu52yo_CT37,0,0.1257,0,0.3022,0.0108,0.0219,0.0325,0.0616,0.0152,0.1487,0.1158,0.1402
WBCminusNeu52yo_CT37_R1,0,0.1154,0,0.3068,0.0151,0.0231,0.0332,0.06,0.0179,0.1442,0.1154,0.1399
WBCminusNeu52yo_CT40,0,0.1346,0,0.3075,0.0145,0.0244,0.0354,0.0533,0.0145,0.1262,0.1264,0.1325
WBCminusNeu52yo_CT40_R1,0,0.1253,0,0.3158,0.0093,0.0236,0.0329,0.0596,0.0102,0.1298,0.1231,0.1295
