# Supplementary table 3. Epigenetic clock results for the samples in WBC-Neu dataset.,,,,,,,,,,,,,,,,,
id,Hannum 2013,Horvath pan-tissue 2013,Weidner 2014,Lin 2016,Vidal-Bralo 2016,Horvath SkinAndBlood 2018,Zhang 2019,Yang epiTOC 2016,Youn MiAge 2018,Lu DNAmTL 2019,Teschendorff epiTOC2 2020,Zhang mortality-risk 2017,Levine PhenoAge 2018,Lu GrimAge 2019,Lu GrimAge2 2022,Belsky DunedinPACE 2022,McGreevy FitAge 2023
WBCminusNeu52yo_CT13,58.65677905,58.50308364,48.17298805,60.91225525,48.44915281,51.25967728,63.43278555,0.116731576,1597.148575,6.818563061,5078.408676,-3.022025658,45.80922368,49.06342612,53.04709498,0.9151563427,51.96647639
WBCminusNeu52yo_CT13_R1,59.64457967,56.8913723,53.11683982,62.60230681,51.53376662,50.81040802,63.97998776,0.1148521025,1485.766666,6.839643387,4783.541373,-2.939098969,44.5799603,48.96651162,52.80697143,0.8639001881,52.79082825
WBCminusNeu52yo_CT16,55.97852598,60.07476287,39.44979831,57.81315028,51.37970523,49.86202792,62.90740694,0.1008665673,1405.376916,6.85211756,3991.457787,-3.09766565,40.21130341,46.27697995,49.85251859,0.9130569323,49.73500688
WBCminusNeu52yo_CT16_R1,56.01846634,56.68458923,44.91853362,55.60907766,48.55380559,50.42506876,62.78977101,0.0963063855,1297.364446,6.922104671,3721.659529,-3.205280612,42.15874905,46.13490068,50.62012741,0.8757981337,48.70095161
WBCminusNeu52yo_CT19,60.46799819,56.581708,43.85438838,60.0769068,52.40055379,52.57065633,63.36355913,0.104960177,1419.265126,6.841376189,4300.173131,-3.062563133,45.13518312,49.93777151,53.99054749,0.8985551649,52.77224028
WBCminusNeu52yo_CT19_R1,58.48844203,54.36842769,39.76092697,56.49372214,50.21303126,52.31536694,63.77751879,0.101387361,1309.321809,6.802335562,4080.88933,-2.887532237,45.82130125,48.8914709,52.3895166,0.8941687043,50.68983084
WBCminusNeu52yo_CT22,55.50862958,57.05711983,44.9689649,50.80991391,51.86729851,50.20603672,63.08856834,0.09741672629,1384.383943,6.89012259,3835.615376,-3.070141576,41.08984181,47.58383472,51.80585583,0.9525508952,50.71114483
WBCminusNeu52yo_CT22_R1,57.92416581,54.82879251,43.72117009,56.9675061,50.95249676,49.81164824,63.6588199,0.1039352934,1362.447372,6.825030199,4124.175114,-3.154982238,45.21885146,46.31311514,49.96720501,0.8863117844,50.31529801
WBCminusNeu52yo_CT25,56.82272717,51.33335802,36.60486512,53.14233007,49.68539559,50.02138335,62.92891837,0.08555825105,1261.814596,7.106755274,3107.043495,-2.962013412,41.04936776,46.3344214,51.37426736,0.9383215008,47.62755955
WBCminusNeu52yo_CT25_R1,54.47317966,54.51933275,41.23193642,57.84479283,51.4656552,50.5311286,63.59142461,0.08898489441,1164.222954,6.984258402,3205.468432,-3.287154754,43.83966017,48.51505739,53.06149294,0.8733261648,49.58416155
WBCminusNeu52yo_CT28,58.89286644,56.38195157,36.9809425,56.51868559,51.24316367,49.51778566,63.16026361,0.09419142388,1325.385255,6.954298167,3715.079166,-3.051105009,46.6423495,46.00702422,50.47139359,0.9089785861,49.23314116
WBCminusNeu52yo_CT28_R1,55.54483581,55.5790256,42.51799437,50.43804438,52.75250242,49.11738079,63.54473829,0.09475336871,1239.7086,6.946048065,3639.054881,-2.975762798,43.81071327,46.93108472,50.90523788,0.8571741403,50.0112723
WBCminusNeu52yo_CT31,56.97070911,58.15468368,40.01589583,57.43297928,51.03047558,50.10901894,62.74619236,0.09255573456,1264.053471,6.984068308,3573.505013,-2.945492577,44.98086695,46.53248537,50.93820076,0.8986072544,48.94317795
WBCminusNeu52yo_CT31_R1,58.89045495,55.76776716,46.11064989,58.59949383,51.75200182,51.62990108,63.59693973,0.09500911862,1194.938074,6.9527023,3675.334146,-3.07727731,43.66026435,47.74534577,51.80762447,0.9178827975,49.94847692
WBCminusNeu52yo_CT34,61.90978052,58.66681158,40.78732275,62.27025393,51.73618731,52.23706649,63.55581866,0.1141501454,1618.074256,6.852475111,4831.679292,-2.770104991,45.75921936,49.30413985,53.02482309,0.9615056385,50.82623762
